asset	sha256	theme	people	office	location	part	editorial_type	orientation	width_px	height_px	aspect_ratio	status	used	reason
/assets/branding/KALLISTIS_lockup_master.jpg	c8e6be893273050b701bad7e42096d200809bdc7379e94c66fb86b4f8416c1d2	branding					ILLUSTRATION	PORTRAIT	1121	1584	0.708	APPROVED_OR_USABLE_UNASSIGNED	0	NEEDS_HUMAN_REVIEW
/assets/branding/KALLISTIS_symbol_master.jpg	e13a90c6fa9fb0809a715af416f6a9f3afcd531d6e81874077493dfc433b24e2	branding					ILLUSTRATION	SQUARE	730	630	1.159	APPROVED_OR_USABLE_UNASSIGNED	0	NEEDS_HUMAN_REVIEW
/assets/branding/KALLISTIS_wordmark_master.jpg	31c54d2334da91e7dbcfc1c030509a04577b055cc25eda057d2c54f05dab6ec9	branding					ILLUSTRATION	LANDSCAPE	910	340	2.676	APPROVED_OR_USABLE_UNASSIGNED	0	NEEDS_HUMAN_REVIEW
/assets/complete/bestiary/arvore-mae.png	cb023b49e19ac3d612e0fc86fa10fa2dc33be06cea94d13e602ffe4579316420	complete/bestiary					BESTIARY	UNKNOWN				USED	1	
/assets/complete/bestiary/automato.png	1cfec7343790bd24f036324fab00a9ba7eaecdb208c302809c16670eb5728813	complete/bestiary					BESTIARY	UNKNOWN				USED	1	
/assets/complete/bestiary/bestiario-abertura.png	9b2ca02ba60b3ae546b9e58d07c099794fd5f2dda7eb7e468195d310cadf9e35	complete/bestiary					BESTIARY	UNKNOWN				APPROVED_OR_USABLE_UNASSIGNED	0	REDUNDANT_DUPLICATE_PATH
/assets/complete/bestiary/cao-leao.png	e3a2d9e714c732911783422405c50c0b18ae0589ae70004ad8cde4a7f300d861	complete/bestiary					BESTIARY	UNKNOWN				USED	1	
/assets/complete/bestiary/corvo.png	a688afcd178175d4a400d5da15faf235ad36f578c1102e07666e0cd937cb9d1d	complete/bestiary					BESTIARY	UNKNOWN				USED	1	
/assets/complete/bestiary/devorador.png	88cf1901d052fe61f09a4bb1a1c70c0b25f5c306d0cfdec90bbb743161f5b838	complete/bestiary					BESTIARY	UNKNOWN				USED	1	
/assets/complete/bestiary/dragao-cristalino.png	e85da577e91287647e97e2dbd00b3e54e0286c84baf9478e71e2f494764eb796	complete/bestiary					BESTIARY	UNKNOWN				USED	1	
