page	part	chapter	title	template	variant	editorialComposition	wordCount	hasImage	tableCount	mechanicalStatus	sourceStartLine	sourceEndLine	visualReview
1	KALLISTIS	KALLISTIS		front_matter	title-page	TEXT_FLOW	152	NO	0	PASS	1	21	PENDING_FULL_VISUAL_REVIEW
2	KALLISTIS	Dedicatória		front_matter	dedication	TEXT_FEATURE	59	NO	0	PASS	23	33	PENDING_FULL_VISUAL_REVIEW
3	KALLISTIS	Dedicatória	Dedicatória	narrative	default	TEXT_FLOW	219	NO	0	PASS	35	49	PENDING_FULL_VISUAL_REVIEW
4	KALLISTIS	Prólogo — A velha e a Fresta	Prólogo — A velha e a Fresta	chapter_opening	image-top	IMAGE_TOP	235	YES	0	PASS	51	63	SAMPLE_REVIEWED
5	PARTE I — O MUNDO PARTIDO	PARTE I — O MUNDO PARTIDO	PARTE I — O MUNDO PARTIDO	part_opening	default	PART_HERO	24	YES	0	PASS	65	67	SAMPLE_REVIEWED
6	PARTE I — O MUNDO PARTIDO	Manesh — O Mundo da Luz	Manesh — O Mundo da Luz	chapter_opening	image-top	IMAGE_TOP	173	YES	0	PASS	69	77	SAMPLE_REVIEWED
7	PARTE I — O MUNDO PARTIDO	Thuvel — O Mundo da Escuridão	Thuvel — O Mundo da Escuridão	chapter_opening	image-top	IMAGE_TOP	199	YES	0	PASS	79	89	SAMPLE_REVIEWED
8	PARTE I — O MUNDO PARTIDO	Luz, Escuridão e Sombra	Luz, Escuridão e Sombra	chapter_opening	image-side	SIDE_ART_PAIR	153	YES	0	PASS	91	103	SAMPLE_REVIEWED
9	PARTE I — O MUNDO PARTIDO	Kav — Sombra É Corrupção, Não Escuridão	Kav — Sombra É Corrupção, Não Escuridão	chapter_opening	image-side	SIDE_ART_PAIR	162	YES	0	PASS	105	117	SAMPLE_REVIEWED
10	PARTE I — O MUNDO PARTIDO	O Grande Cristal — Antes Que Houvesse Dois Mundos	O Grande Cristal — Antes Que Houvesse Dois Mundos	chapter_opening	image-top	IMAGE_TOP	186	YES	0	PASS	119	131	SAMPLE_REVIEWED
11	PARTE I — O MUNDO PARTIDO	Mirveth — Uma Pessoa Inteira	Mirveth — Uma Pessoa Inteira	chapter_opening	image-top	IMAGE_TOP	149	YES	0	PASS	133	143	SAMPLE_REVIEWED
