relativePath,sha256,disposition,contexts,materializedSrc
CRIATURAS_BESTIARIO/01_DRAGAO_CRISTALINO_COLOSSAL__e85da577e9.png,e85da577e91287647e97e2dbd00b3e54e0286c84baf9478e71e2f494764eb796,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/01_DRAKO_DE_CRISTAL__461bb8c257.png,461bb8c2579170eb5b61be2b2daaad99ad67be44b1ef79c8c26827d89a431669,USED,Drako de Cristal,/assets/complete/bestiary/plates/drako-cristal.png
CRIATURAS_BESTIARIO/07_BESTIARIO_DO_CRISTAL_PARTIDO__9dd416e94c.png,9dd416e94c6aa845099f08ee1421ed2999709ad722c1da2aef9497aa3a4db04c,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_BAU_ANDARILHO_CENTENAS_DE_PES_V01__433e446a50.png,433e446a5016df4691df61d05356951363376169b290fa2c954799ca9194cb60,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_BAU_ANDARILHO_CENTENAS_DE_PES_V02__381768c41a.png,381768c41a7b55feccaafcf167343228d23b736f23fcf4f01b926b296d032424,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_BAU_ARMADILHA_PREDADOR_v01__482782ad0b.png,482782ad0bcb66b1ae60fc95f85da03157740cfac232e610d3d3a7ebe22d3caa,USED,O NÚCLEO DE RESOLUÇÃO,/assets/v1.5-acervo/482782ad0bcb66b1ae60fc95.png
CRIATURAS_BESTIARIO/CRIATURA_CAO_LEAO_DAS_BRASAS_ERRANTES_v01__e3a2d9e714.png,e3a2d9e714c732911783422405c50c0b18ae0589ae70004ad8cde4a7f300d861,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_CUBO_GELATINOSO_KALLISTIS_v01__976f891e37.png,976f891e378af69174cec8d103b1a222be9a85d462a4e8f5fd5b8534ecb8c56d,USED,Gelatídeo Prismático,/assets/v1.5-acervo/976f891e378af69174cec8d1.png
CRIATURAS_BESTIARIO/CRIATURA_DEVORADOR_PSIQUICO_CEFALOIDE_V01__88cf1901d0.png,88cf1901d052fe61f09a4bb1a1c70c0b25f5c306d0cfdec90bbb743161f5b838,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_DEVORADOR_PSIQUICO_CEFALOIDE_V02__7cbe2f8528.png,7cbe2f8528fff2b7ad51078f33d9645e3ccb0efae6257f0ecaa706ba3788ddf5,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_DRAKO_DA_BRASA_VENTRAL_V01__6205dd6173.png,6205dd61739f478fbeceb072948ab57df31d04ceab45e6d2b4bf8a979dee7965,USED,Drako da Brasa Ventral,/assets/complete/bestiary/plates/drako-brasa.png
CRIATURAS_BESTIARIO/CRIATURA_DRAKO_DA_BRASA_VENTRAL_V02__087dd3fd7b.png,087dd3fd7bf19187df983a41771318c58f0a7a1ecab61741c058a6321bf26401,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_PATO_DE_PRESSAO_RESSONANTE_v01__019af1d209.png,019af1d209c97999b979efdc1f55621fc9515623a86866f86eb0ee7ffc6d2e6c,REVIEW_REQUIRED,,
CRIATURAS_BESTIARIO/CRIATURA_ROEDOR_DOS_VEIOS_FULMINANTES_V01__781901a8b1.png,781901a8b18f6cbb8ee2602f3d63e2061dba764f5f28f1e44a2470f67e340f61,REVIEW_REQUIRED,,
